"cell","tsbin","t","Method","Order.q","SC","qD","qD.LCL","qD.UCL","nT","nOcc","Sobs","Chat","GoodU","Mrate","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10","occurrence_no","collection_no","reference_no","bin_midpoint","cell_lng","cell_lat","qD_raw","stage","bin_index","bin","abs_lat","hemisphere","abs_lat_bin_mid","lat_zone","qD_normalized","slope_filter_id","data_role"
1061,"3.09_1061",453.748974,"Rarefaction",0,0.700000012,253.1838524,237.8468248,268.52088,765,765,323,0.8316,0.831372549,0.600619195,129,75,58,32,14,6,3,4,1,0,765,20,8,3.09,-64.04724821,10.59932218,253.1838524,"Piacenzian",22,15,10.59932218,"Northern",11.216828,"tropical",100,"collection5","slope"
1064,"200.45_1064",2.124682023,"Rarefaction",0,0.777777778,1.447837172,1.112791103,1.782883242,9,9,3,0.8222,0.777777778,0.333333333,2,0,0,0,0,0,1,0,0,0,9,7,2,200.45,-57.33054949,15.54626474,1.447837172,"Hettangian",23,14,15.54626474,"Northern",14.483604,"tropical",1.27382203650283,"collection5","slope"
1064,"203.55_1064",7.55543153,"Rarefaction",0,0.666666667,5.481429804,1.684898824,9.277960784,9,9,6,0.7333,0.666666667,0.5,3,3,0,0,0,0,0,0,0,0,9,5,2,203.55,-57.33054949,15.54626474,5.481429804,"Rhaetian",23,14,15.54626474,"Northern",14.483604,"tropical",11.8224769122941,"collection5","slope"
1064,"77.9_1064",1,"Rarefaction",0,0.790849673,1,0.496802256,1.503197744,18,18,2,1,1,1,0,1,0,0,0,0,0,0,0,0,18,17,1,77.9,-57.33054949,15.54626474,1,"Campanian",23,14,15.54626474,"Northern",14.483604,"tropical",0.849648949523946,"collection5","slope"
1082,"4.4665_1082",258.6989499,"Rarefaction",0,0.700000007,143.3228796,127.3239758,159.3217833,522,522,200,0.8394,0.83908046,0.58,84,37,23,18,18,13,4,1,1,1,522,21,26,4.4665,-78.75,1.204524046,143.3228796,"Zanclean",19,18,1.204524046,"Northern",1.592369,"tropical",67.1432420910939,"collection5","slope"
1088,"30.6_1088",10.05265049,"Rarefaction",0,0.699999805,5.262496392,0,12.84908916,22,22,8,0.8224,0.818181818,0.5,4,1,2,0,0,0,0,0,0,1,22,19,2,30.6,-64.33146303,8.364242293,5.262496392,"Rupelian",21,16,8.364242293,"Northern",7.986719,"tropical",3.71173880206217,"collection5","slope"
1089,"4.4665_1089",89.94984139,"Rarefaction",0,0.700000079,50.70851786,46.83360641,54.58342931,382,382,86,0.9505,0.95026178,0.779069767,19,17,5,11,10,3,2,4,4,5,382,21,11,4.4665,-61.92325282,9.760381602,50.70851786,"Zanclean",22,15,9.760381602,"Northern",11.216828,"tropical",23.7556927425462,"collection5","slope"
1090,"9.438_1090",185.3419251,"Rarefaction",0,0.700000022,96.89766704,85.31103129,108.4843028,576,576,172,0.8647,0.864583333,0.546511628,78,25,20,11,8,5,4,0,5,2,576,24,15,9.438,-59.6929811,11.41535252,96.89766704,"Tortonian",22,15,11.41535252,"Northern",11.216828,"tropical",63.8339052862688,"collection5","slope"
1090,"4.4665_1090",137.255207,"Rarefaction",0,0.700000007,79.7080335,72.20461735,87.21144965,402,402,117,0.9281,0.927860697,0.752136752,29,16,14,20,17,14,6,1,0,0,402,8,10,4.4665,-59.6929811,11.41535252,79.7080335,"Zanclean",22,15,11.41535252,"Northern",11.216828,"tropical",37.3412521771264,"collection5","slope"
1090,"455.5_1090",114.424865,"Extrapolation",0,0.7,62.93809524,46.43784819,79.43834229,105,105,60,0.6786,0.676190476,0.433333333,34,13,8,4,1,0,0,0,0,0,105,8,3,455.5,-59.6929811,11.41535252,62.93809524,"Sandbian",22,15,11.41535252,"Northern",11.216828,"tropical",45.5137517165094,"collection5","slope"
1092,"216.5_1092",53.88234025,"Rarefaction",0,0.700000018,30.61359095,27.68155714,33.54562476,244,244,52,0.9594,0.959016393,0.807692308,10,10,6,4,3,3,3,3,6,1,244,58,11,216.5,-55.12659685,14.40932949,30.61359095,"Norian",23,14,14.40932949,"Northern",14.483604,"tropical",35.886758278107,"collection5","slope"
1109,"455.5_1109",30.38851076,"Rarefaction",0,0.700000073,17.54805782,14.24563906,20.85047658,91,91,26,0.9465,0.945054945,0.807692308,5,6,4,5,1,1,2,1,1,0,91,22,4,455.5,-78.75,-1.204524051,17.54805782,"Sandbian",18,19,1.204524051,"Southern",1.592369,"tropical",12.6898970119902,"collection5","slope"
1109,"449_1109",23.61477868,"Rarefaction",0,0.69999998,13.09491599,11.20133011,14.98850186,198,198,30,0.9548,0.954545455,0.7,9,5,1,1,0,3,2,1,2,0,198,46,2,449,-78.75,-1.204524051,13.09491599,"Katian",18,19,1.204524051,"Southern",1.592369,"tropical",8.68776345380454,"collection5","slope"
1110,"9.438_1110",162.7291846,"Extrapolation",0,0.7,95.03380531,63.80329009,126.2643205,113,113,77,0.5695,0.566371681,0.363636364,49,20,8,0,0,0,0,0,0,0,113,5,5,9.438,-76.40534979,-2.42e-09,95.03380531,"Tortonian",18,19,2.42e-09,"Southern",1.592369,"tropical",62.6060369920775,"collection5","slope"
1111,"481.975_1111",64.20807867,"Extrapolation",0,0.7,33.93692308,18.64183137,49.23201479,52,52,30,0.6576,0.653846154,0.4,18,5,6,0,0,1,0,0,0,0,52,14,6,481.975,-74.06674996,1.21255256,33.93692308,"Tremadocian",19,18,1.21255256,"Northern",1.592369,"tropical",64.0467809271377,"collection5","slope"
1112,"216.5_1112",27.95855168,"Rarefaction",0,0.700000124,14.33834456,10.82618652,17.8505026,65,65,22,0.8644,0.861538462,0.590909091,9,6,2,2,1,0,0,0,0,0,65,39,5,216.5,-71.72686286,2.430801149,14.33834456,"Norian",19,18,2.430801149,"Northern",1.592369,"tropical",16.8081133040987,"collection5","slope"
1112,"196.2_1112",6.368449907,"Rarefaction",0,0.699999306,3.748548407,2.580872642,4.916224171,25,25,6,1,1,1,0,3,1,0,1,0,0,0,0,0,25,24,1,196.2,-71.72686286,2.430801149,3.748548407,"Sinemurian",19,18,2.430801149,"Northern",1.592369,"tropical",6.57843738209102,"collection5","slope"
1112,"481.975_1112",32.43244188,"Rarefaction",0,0.699999948,17.89929514,15.33085307,20.46773721,199,199,37,0.945,0.944723618,0.702702703,11,5,3,4,2,1,1,3,0,1,199,95,1,481.975,-71.72686286,2.430801149,17.89929514,"Tremadocian",19,18,2.430801149,"Northern",1.592369,"tropical",33.7800876019123,"collection5","slope"
1114,"188.55_1114",9.316303742,"Extrapolation",0,0.7,5.1,1.177954693,9.022045307,9,9,5,0.6923,0.666666667,0.4,3,1,0,1,0,0,0,0,0,0,9,6,2,188.55,-66.99422275,4.863490843,5.1,"Pliensbachian",20,17,4.863490843,"Northern",4.782054,"tropical",9.39966444996751,"collection5","slope"
1115,"455.5_1115",43.46677732,"Rarefaction",0,0.699999933,22.96784222,14.80886975,31.12681468,113,113,38,0.8326,0.831858407,0.5,19,5,4,2,2,1,0,2,0,1,113,14,5,455.5,-64.548711,6.041308988,22.96784222,"Sandbian",20,17,6.041308988,"Northern",4.782054,"tropical",16.6092199689048,"collection5","slope"
1115,"439.55_1115",11.46962023,"Rarefaction",0,0.700000506,6.683871884,2.855090293,10.51265347,23,23,9,0.877,0.869565217,0.666666667,3,2,3,0,0,0,1,0,0,0,23,10,1,439.55,-64.548711,6.041308988,6.683871884,"Aeronian",20,17,6.041308988,"Northern",4.782054,"tropical",22.5280648005093,"collection5","slope"
1116,"463.8_1116",43.14642176,"Rarefaction",0,0.700000065,24.89249308,21.44607803,28.33890813,135,135,36,0.956,0.955555556,0.833333333,6,4,8,7,7,2,0,1,0,0,135,22,8,463.8,-61.94893136,7.066365858,24.89249308,"Darriwilian",21,16,7.066365858,"Northern",7.986719,"tropical",20.1185267298797,"collection5","slope"
1117,"455.5_1117",49.516506,"Rarefaction",0,0.699999956,28.66841803,24.26589513,33.07094094,83,83,36,0.8463,0.843373494,0.638888889,13,10,6,4,2,1,0,0,0,0,83,15,6,455.5,-59.76436454,8.810048939,28.66841803,"Sandbian",21,16,8.810048939,"Northern",7.986719,"tropical",20.7315975379766,"collection5","slope"
1117,"463.8_1117",67.98525944,"Rarefaction",0,0.700000074,37.75717104,33.04397902,42.47036306,243,243,65,0.9099,0.909465021,0.661538462,22,13,2,6,5,2,9,1,2,1,243,28,7,463.8,-59.76436454,8.810048939,37.75717104,"Darriwilian",21,16,8.810048939,"Northern",7.986719,"tropical",30.5159733246325,"collection5","slope"
1119,"435.75_1119",41.0997178,"Rarefaction",0,0.699999983,23.33016575,19.36223217,27.29809934,130,130,37,0.9161,0.915384615,0.702702703,11,6,5,5,0,6,0,1,2,1,130,23,9,435.75,-55.23353996,11.8056977,23.33016575,"Telychian",22,15,11.8056977,"Northern",11.216828,"tropical",19.085805547215,"collection5","slope"
1119,"216.5_1119",44.1759419,"Rarefaction",0,0.699999893,24.33826738,18.16052778,30.51600699,79,79,32,0.8374,0.835443038,0.59375,13,6,9,1,1,0,1,0,0,0,79,26,6,216.5,-55.23353996,11.8056977,24.33826738,"Norian",22,15,11.8056977,"Northern",11.216828,"tropical",28.5305150839874,"collection5","slope"
1120,"196.2_1120",77.66178157,"Extrapolation",0,0.7,38.5125,0,96.12792871,40,40,25,0.5788,0.575,0.32,17,3,4,0,1,0,0,0,0,0,40,5,2,196.2,-52.94648985,13.2263851,38.5125,"Sinemurian",23,14,13.2263851,"Northern",14.483604,"tropical",67.586714154384,"collection5","slope"
1125,"270.65_1125",23.09751325,"Rarefaction",0,0.700000022,13.0474203,9.78336738,16.31147323,68,68,21,0.8837,0.882352941,0.619047619,8,3,2,2,3,0,2,0,0,0,68,16,3,270.65,-41.11384218,19.98494437,13.0474203,"Roadian",25,12,19.98494437,"Northern",21.178301,"tropical",11.4173613582457,"collection5","slope"
1133,"338.5_1133",7.34397957,"Rarefaction",0,0.699999182,4.407345537,1.85728548,6.957405593,20,20,7,0.8551,0.85,0.571428571,3,1,1,0,0,2,0,0,0,0,20,16,1,338.5,-19.04713164,27.63160486,4.407345537,"Visean",27,10,27.63160486,"Northern",28.1939,"tropical",4.50140119180313,"collection5","slope"
1136,"463.8_1136",12.79061217,"Extrapolation",0,0.7,6.25,1.244971861,11.25502814,12,12,6,0.6857,0.666666667,0.333333333,4,0,1,0,1,0,0,0,0,0,12,7,1,463.8,-78.75,-3.612544231,6.25,"Darriwilian",17,20,3.612544231,"Southern",4.782054,"tropical",5.05135390246528,"collection5","slope"
1137,"18.215_1137",63.18497838,"Rarefaction",0,0.699999903,33.40374717,25.1659363,41.64155805,108,108,44,0.8167,0.814814815,0.545454545,20,11,5,2,2,2,0,0,1,0,108,38,7,18.215,-76.40207224,-2.417243936,33.40374717,"Burdigalian",18,19,2.417243936,"Southern",1.592369,"tropical",11.3515819241712,"collection5","slope"
1137,"12.725_1137",48.66841483,"Rarefaction",0,0.699999934,27.19144527,18.36922081,36.01366974,98,98,38,0.8274,0.826530612,0.552631579,17,4,7,5,2,1,1,0,1,0,98,20,9,12.725,-76.40207224,-2.417243936,27.19144527,"Serravallian",18,19,2.417243936,"Southern",1.592369,"tropical",10.2040503647226,"collection5","slope"
1139,"200.45_1139",2.771082133,"Rarefaction",0,0.700000062,1.997130438,1.250012096,2.74424878,9,9,3,1,0.888888889,0.666666667,1,0,0,2,0,0,0,0,0,0,9,9,1,200.45,-71.73845176,-2.07e-09,1.997130438,"Hettangian",18,19,2.07e-09,"Southern",1.592369,"tropical",1.75709590200724,"collection5","slope"
1139,"216.5_1139",65.95354822,"Extrapolation",0,0.7,26.9,0,67.44344806,33,33,16,0.6384,0.636363636,0.25,12,0,3,0,0,0,0,0,0,0,33,21,6,216.5,-71.73845176,-2.07e-09,26.9,"Norian",18,19,2.07e-09,"Southern",1.592369,"tropical",31.5335041634858,"collection5","slope"
114,"30.6_114",29.44099707,"Rarefaction",0,0.700000058,16.95532371,10.35780357,23.55284385,37,37,19,0.764,0.756756757,0.526315789,9,5,3,1,1,0,0,0,0,0,37,11,2,30.6,-151.2305712,59.95663945,16.95532371,"Rupelian",34,3,59.95663945,"Northern",59.588323,"temperate",11.9589123161401,"collection5","slope"
1142,"439.55_1142",2.816702409,"Rarefaction",0,0.699998655,1.927990232,0.481595009,3.374385455,8,8,3,0.9028,0.875,0.666666667,1,1,0,0,1,0,0,0,0,0,8,5,1,439.55,-64.69555132,3.65224582,1.927990232,"Aeronian",20,17,3.65224582,"Northern",4.782054,"tropical",6.49831260009904,"collection5","slope"
1144,"463.8_1144",3.262457241,"Rarefaction",0,0.7,1.972590983,0.258260006,3.686921959,10,10,4,0.73,0.7,0.25,3,0,0,0,0,0,1,0,0,0,10,8,3,463.8,-59.83497578,6.196592642,1.972590983,"Darriwilian",20,17,6.196592642,"Northern",4.782054,"tropical",1.59428082559118,"collection5","slope"
1145,"455.5_1145",33.21687018,"Rarefaction",0,0.700000075,19.38048854,17.38202976,21.37894731,158,158,32,0.9561,0.955696203,0.78125,7,5,0,0,2,7,7,2,1,0,158,23,5,455.5,-57.5930767,7.755286443,19.38048854,"Sandbian",21,16,7.755286443,"Northern",7.986719,"tropical",14.0150212711492,"collection5","slope"
1147,"428.65_1147",98.76912697,"Rarefaction",0,0.700000023,58.12582343,51.45262927,64.79901758,235,235,79,0.9194,0.919148936,0.759493671,19,8,26,14,7,4,1,0,0,0,235,9,12,428.65,-53.07085072,10.61525489,58.12582343,"Homerian",22,15,10.61525489,"Northern",11.216828,"tropical",54.6784682153958,"collection5","slope"
115,"44.55_115",16.33884923,"Rarefaction",0,0.722222222,10.51696299,3.865343583,17.16858241,18,18,11,0.7515,0.722222222,0.545454545,5,5,1,0,0,0,0,0,0,0,18,6,2,44.55,-148.9993353,62.43585177,10.51696299,"Lutetian",34,3,62.43585177,"Northern",59.588323,"temperate",3.61870042270933,"collection5","slope"
1153,"449_1153",43.21979789,"Rarefaction",0,0.699999903,24.63002454,17.43703557,31.8230135,56,56,28,0.7723,0.767857143,0.535714286,13,7,6,1,0,0,1,0,0,0,56,12,7,449,-38.97754269,18.651389,24.63002454,"Katian",24,13,18.651389,"Northern",17.79942,"tropical",16.3406796369162,"collection5","slope"
1154,"256.825_1154",37.76976948,"Extrapolation",0,0.7,22.884,6.867217209,38.90078279,25,25,18,0.5361,0.52,0.333333333,12,5,1,0,0,0,0,0,0,0,25,9,3,256.825,-36.47856406,19.8969094,22.884,"Wuchiapingian",25,12,19.8969094,"Northern",21.178301,"tropical",31.3594864931392,"collection5","slope"
1163,"455.5_1163",88.96996102,"Rarefaction",0,0.700000028,45.85598559,38.71168231,53.00028888,167,167,64,0.8214,0.820359281,0.53125,30,15,7,3,0,3,2,0,1,1,167,35,5,455.5,-78.75,-6.017485978,45.85598559,"Sandbian",17,20,6.017485978,"Southern",4.782054,"tropical",33.1608056281414,"collection5","slope"
1163,"463.8_1163",16.19085559,"Rarefaction",0,0.700000009,8.239197616,0,21.07585606,42,42,15,0.7631,0.761904762,0.333333333,10,1,1,0,0,0,0,1,1,1,42,17,5,463.8,-78.75,-6.017485978,8.239197616,"Darriwilian",17,20,6.017485978,"Southern",4.782054,"tropical",6.65905648492228,"collection5","slope"
1163,"470.35_1163",14.81803942,"Rarefaction",0,0.700000083,8.076845402,4.8527692,11.3009216,23,23,10,0.8406,0.826086957,0.6,4,4,1,0,0,0,0,1,0,0,23,11,3,470.35,-78.75,-6.017485978,8.076845402,"Dapingian",17,20,6.017485978,"Southern",4.782054,"tropical",20.5953896255512,"collection5","slope"
1164,"18.215_1164",143.7897408,"Rarefaction",0,0.700000004,75.66292917,63.56293372,87.76292463,190,190,88,0.7644,0.763157895,0.488636364,45,22,7,4,5,3,0,0,0,1,190,18,7,18.215,-76.39221869,-4.831619377,75.66292917,"Burdigalian",17,20,4.831619377,"Southern",4.782054,"tropical",25.7125026939312,"collection5","slope"
1168,"196.2_1168",7.777414201,"Extrapolation",0,0.7,5.278571429,0,10.81757499,7,7,5,0.6494,0.571428571,0.4,3,2,0,0,0,0,0,0,0,0,7,5,1,196.2,-67.09461349,-1.71e-09,5.278571429,"Sinemurian",18,19,1.71e-09,"Southern",1.592369,"tropical",9.26351959273797,"collection5","slope"
1169,"441.8_1169",5.300079679,"Rarefaction",0,0.699999865,3.045887034,0.312759191,5.779014877,13,13,5,0.787,0.769230769,0.4,3,0,1,0,0,0,1,0,0,0,13,7,1,441.8,-64.76958687,1.222066699,3.045887034,"Rhuddanian",19,18,1.222066699,"Northern",1.592369,"tropical",7.22727753892071,"collection5","slope"
1180,"256.825_1180",23.91969796,"Rarefaction",0,0.699999872,13.25816529,12.24410159,14.27222899,661,661,36,0.9894,0.989409985,0.805555556,7,2,0,1,2,1,3,3,1,0,661,168,2,256.825,-39.32938839,16.05276355,13.25816529,"Wuchiapingian",23,14,16.05276355,"Northern",14.483604,"tropical",18.1685568666126,"collection5","slope"
